Gene	Synonymns	Description
LOC100128882	-	uncharacterized LOC100128882
LOC100128885	-	uncharacterized LOC100128885
RPSAP36	RPSA_14_525	ribosomal protein SA pseudogene 36
NDUFAF4P4	-	NADH:ubiquinone oxidoreductase complex assembly factor 4 pseudogene 4
FAM66B	FAM66E	family with sequence similarity 66 member B
GATA6-AS1	BM742401|locus5689	GATA6 antisense RNA 1 (head to head)
NAP1L1P2	-	nucleosome assembly protein 1 like 1 pseudogene 2
LOC100128898	-	latexin pseudogene
RPL7L1P9	-	ribosomal protein L7 like 1 pseudogene 9
PRDX3P3	-	peroxiredoxin 3 pseudogene 3
NPM1P4	NG4-5|NPMP4	nucleophosmin 1 pseudogene 4
LINC01960	-	long intergenic non-protein coding RNA 1960
LOC100128906	-	WDR45-like pseudogene
LMLN2	-	leishmanolysin like peptidase 2
PCNPP2	-	PEST containing nuclear protein pseudogene 2
RPS21P4	RPS21_2_461	ribosomal protein S21 pseudogene 4
RPS6P16	RPS6_8_1176	ribosomal protein S6 pseudogene 16
LOC100128926	-	ubiquitin-conjugating enzyme E2 variant 1 pseudogene
ZBTB42	LCCS6|ZNF925	zinc finger and BTB domain containing 42
LOC100128929	-	archaelysin family metallopeptidase 2 pseudogene
SDCBPP1	-	syndecan binding protein pseudogene 1
FXYD6P1	-	FXYD domain containing ion transport regulator 6 pseudogene 1
RPL10AP6	RPL10A_1_376	ribosomal protein L10a pseudogene 6
LOC100128939	-	pyruvate dehydrogenase kinase 3 pseudogene
YWHAQP3	-	YWHAQ pseudogene 3
LINC01310	WI2-81516E3.1	long intergenic non-protein coding RNA 1310
LOC100128948	-	zinc finger protein 607 pseudogene
LOC100128958	-	ferredoxin 1-like pseudogene
GAPDHP62	GAPDHL7|GAPDL7	glyceraldehyde 3 phosphate dehydrogenase pseudogene 62
RPL3P9	RPL3_6_918	ribosomal protein L3 pseudogene 9
LOC100128964	-	serine/arginine-rich splicing factor 3 pseudogene
LOC100128966	-	uncharacterized LOC100128966
RBM17P4	-	RNA binding motif protein 17 pseudogene 4
MAPT-AS1	-	MAPT antisense RNA 1
KATNBL1P4	-	katanin regulatory subunit B1 like 1 pseudogene 4
LOC100128983	-	mbt domain containing 1 pseudogene
RPL35AP7	RPL35A_1_109	ribosomal protein L35a pseudogene 7
NPM1P38	-	nucleophosmin 1 pseudogene 38
LOC100128988	-	uncharacterized LOC100128988
MED6P1	-	mediator complex subunit 6 pseudogene 1
RSL24D1P9	-	ribosomal L24 domain containing 1 pseudogene 9
LOC100128993	-	uncharacterized LOC100128993
C20orf181	-	chromosome 20 open reading frame 181
LOC100129001	-	general transcription factor IIIC subunit 6 pseudogene
RPL3P10	RPL3_5_896	ribosomal protein L3 pseudogene 10
APOOP2	-	apolipoprotein O pseudogene 2
FMO8P	-	flavin containing monooxygenase 8, pseudogene
CUL4AP1	-	cullin 4A pseudogene 1
DCAF13P1	-	DDB1 and CUL4 associated factor 13 pseudogene 1
LSM6P1	HsT818|LSM6P	LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated pseudogene 1
ACTR3P2	-	ACTR3 pseudogene 2
RPL24P5	RPL24_1_143	ribosomal protein L24 pseudogene 5
ARF4P4	-	ADP ribosylation factor 4 pseudogene 4
LOC100129027	-	uncharacterized LOC100129027
RPLP1P4	RPLP1_3_298	ribosomal protein lateral stalk subunit P1 pseudogene 4
PKP4-AS1	-	PKP4 antisense RNA 1
UBL5P3	-	ubiquitin like 5 pseudogene 3
GLYATL1P1	-	glycine-N-acyltransferase like 1 pseudogene 1
LOC100129034	-	uncharacterized LOC100129034
LOC100129037	-	WEE1 homolog (S. pombe) pseudogene
CCDC11P1	-	coiled-coil domain containing 11 pseudogene 1
EIF3KP2	-	eukaryotic translation initiation factor 3 subunit K pseudogene 2
LOC100129046	-	uncharacterized LOC100129046
PIGFP3	-	phosphatidylinositol glycan anchor biosynthesis class F pseudogene 3
CICP20	-	capicua transcriptional repressor pseudogene 20
LOC100129052	-	N(alpha)-acetyltransferase 40, NatD catalytic subunit, homolog (S. cerevisiae) pseudogene
KDM4F	JMJD2F	lysine demethylase 4F
LOC100129055	-	cyclin Y like 1 pseudogene
SEMA3F-AS1	RBM5-AS1	SEMA3F antisense RNA 1
RPL7P25	RPL7_12_684	ribosomal protein L7 pseudogene 25
UNQ6494	-	uncharacterized LOC100129066
NPM1P35	-	nucleophosmin 1 pseudogene 35
THAP12P5	PRKRIRP5	THAP domain containing 12 pseudogene 5
KTN1-AS1	C14orf33|MYCLo-3	KTN1 antisense RNA 1
LOC100129078	-	tetratricopeptide repeat domain 5 pseudogene
TDGF1P7	CR-7|CRIPTO-7|TDGF7	teratocarcinoma-derived growth factor 1 pseudogene 7
LOC100129083	-	uncharacterized LOC100129083
SELENOKP1	-	selenoprotein K pseudogene 1
HIGD1AP1	HIG1|HIGD1D|HIGD1DP	HIG1 hypoxia inducible domain family member 1A pseudogene 1
RPS5P4	RPS5_1_162	ribosomal protein S5 pseudogene 4
BTNL10	BTN4|BUTR1	butyrophilin like 10
LOC100129096	-	tropomyosin 4 pseudogene
LOC100129098	-	translation initiation factor IF-2
LOC100129099	-	proline rich nuclear receptor coactivator 2 pseudogene
LOC100129100	-	uncharacterized protein C12orf29 homolog
RPL22P4	RPL22_2_154	ribosomal protein L22 pseudogene 4
TCF3P1	-	transcription factor 3 pseudogene 1
LOC100129108	-	tripartite motif containing 64B pseudogene
LOC100129118	-	transmembrane protein 167A pseudogene
ACE3P	ACE3	angiotensin I converting enzyme 3, pseudogene
TVP23BP1	FAM18B3P	TVP23B pseudogene 1
KHDC1L	-	KH domain containing 1 like
LOC100129129	-	uncharacterized LOC100129129
LOC100129130	-	THO complex 4 pseudogene
LOC100129133	-	transmembrane protein 184C pseudogene
LOC100129135	-	selenocysteine insertion sequence-binding protein 2-like
LOC100129137	-	CD53 molecule pseudogene
LOC100129138	-	THAP domain containing 3 pseudogene
LOC100129140	-	DnaJ heat shock protein family (Hsp40) member B12 pseudogene
RPL21P37	RPL21_11_229	ribosomal protein L21 pseudogene 37
SMUG1P1	-	single-strand-selective monofunctional uracil-DNA glycosylase 1 pseudogene 1
LOC100129144	-	zinc finger protein 681 pseudogene
LOC100129148	-	uncharacterized LOC100129148
LOC100129155	-	phosphoethanolamine/phosphocholine phosphatase pseudogene
RBBP6P1	-	RBBP6 pseudogene 1
NMNAT1P2	-	NMNAT1 pseudogene 2
RSL24D1P2	-	ribosomal L24 domain containing 1 pseudogene 2
RFESDP1	-	Rieske (Fe-S) domain containing pseudogene 1
LOC100129168	-	chromosome 6 open reading frame 203 pseudogene
POLR2KP2	-	RNA polymerase II subunit K pseudogene 2
LOC100129175	-	uncharacterized LOC100129175
RPL13P6	RPL13AP4|RPL13_5_1409	ribosomal protein L13 pseudogene 6
RPL9P5	RPL9_9_1374	ribosomal protein L9 pseudogene 5
RPL36AP11	RPL36A_2_73	ribosomal protein L36a pseudogene 11
LOC100129184	-	uncharacterized LOC100129184
MICC	PERB11.3	MHC class I polypeptide-related sequence C (pseudogene)
MUPP	MUP	major urinary protein, pseudogene
ZSCAN16-AS1	-	ZSCAN16 antisense RNA 1
MATN1-AS1	-	MATN1 antisense RNA 1
RPS3AP40	RPS3A_19_1151	ribosomal protein S3a pseudogene 40
PRR13P3	-	proline rich 13 pseudogene 3
LOC100129202	-	arginine and serine rich coiled-coil 1 pseudogene
LOC100129203	-	uncharacterized LOC100129203
LOC100129205	-	ribosomal protein S24 pseudogene
SLC39A12-AS1	-	SLC39A12 antisense RNA 1
LOC100129215	-	uncharacterized LOC100129215
DEFB131B	-	defensin beta 131B
THCAT155	-	thyroid cancer-associated transcript 155
LOC100129224	-	ankyrin repeat domain-containing protein SOWAHC-like
RPS6P22	RPS6_10_1242	ribosomal protein S6 pseudogene 22
HNRNPCP10	-	heterogeneous nuclear ribonucleoprotein C pseudogene 10
HSPA8P20	-	heat shock protein family A (Hsp70) member 8 pseudogene 20
RPL27P7	RPL27_3_270	ribosomal protein L27 pseudogene 7
NPM1P21	-	nucleophosmin 1 pseudogene 21
CXorf51A	CXorf51|CXorf51B	chromosome X open reading frame 51A
RPS15AP12	RPS15A_5_166	ribosomal protein S15a pseudogene 12
LOC100129245	-	GAR1 ribonucleoprotein homolog (yeast) pseudogene
PDSS1P1	-	decaprenyl diphosphate synthase subunit 1 pseudogene 1
SMIM27	C9orf133|TOPORS-AS1	small integral membrane protein 27
FTLP4	-	ferritin light chain pseudogene 4
LOC100129254	-	chromosome 3 open reading frame 38 pseudogene
NMNAT1P5	-	NMNAT1 pseudogene 5
BRD7P5	-	bromodomain containing 7 pseudogene 5
RPL7L1P1	-	ribosomal protein L7 like 1 pseudogene 1
LOC100129262	-	ribosomal protein L28 pseudogene
LOC100129265	-	zinc finger protein 66-like
LINC01160	-	long intergenic non-protein coding RNA 1160
C1orf68	LEP7|XP32	chromosome 1 open reading frame 68
TOMM20P4	-	TOMM20 pseudogene 4
LOC100129274	-	NGG1 interacting factor 3 like 1 pseudogene
LOC100129276	-	RNA exonuclease 1 homolog
TPMTP3	-	thiopurine S-methyltransferase pseudogene 3
TDRD15	-	tudor domain containing 15
RPS27P14	RPS27_7_572	ribosomal protein S27 pseudogene 14
LDHBP3	-	lactate dehydrogenase B pseudogene 3
RPS15AP39	RPS15A_14_1774	ribosomal protein S15a pseudogene 39
MORF4L1P5	MORF4LP5	mortality factor 4 like 1 pseudogene 5
LOC100129291	-	chromosome X open reading frame 49 pseudogene
LOC100129293	-	IgLON family member 5 pseudogene
RPL22P24	-	ribosomal protein L22 pseudogene 24
CD200R1L-AS1	-	CD200R1L antisense RNA 1
TPMTP4	-	thiopurine S-methyltransferase pseudogene 4
RPS20P32	RPS20_15_1306	ribosomal protein S20 pseudogene 32
LOC100129307	-	putative UPF0607 protein ENSP00000383144
DNAJA1P1	-	DnaJ heat shock protein family (Hsp40) member A1 pseudogene 1
RPL31P14	RPL31_4_324	ribosomal protein L31 pseudogene 14
VN1R66P	-	vomeronasal 1 receptor 66 pseudogene
LOC100129316	-	uncharacterized LOC100129316
SLC25A6P5	-	solute carrier family 25 member 6 pseudogene 5
HMGB3P10	-	high mobility group box 3 pseudogene 10
LOC100129321	-	single stranded DNA binding protein 3 pseudogene
HNRNPA1P64	-	heterogeneous nuclear ribonucleoprotein A1 pseudogene 64
SNRPEP3	-	small nuclear ribonucleoprotein polypeptide E pseudogene 3
RAB28P2	-	RAB28, member RAS oncogene family pseudogene 2
RPL29P20	RPL29_10_1009	ribosomal protein L29 pseudogene 20
EIF4BP2	-	eukaryotic translation initiation factor 4B pseudogene 2
TPSP1	MP-2	tryptase pseudogene 1
LOC100129340	-	mitofusin-1-like
LOC100129344	-	developmental pluripotency associated 4 pseudogene
LINC02291	-	long intergenic non-protein coding RNA 2291
LINC00484	C9orf73	long intergenic non-protein coding RNA 484
CDCA4P2	-	cell division cycle associated 4 pseudogene 2
AGGF1P4	-	angiogenic factor with G-patch and FHA domains 1 pseudogene 4
LOC100129352	-	protein PAT1 homolog 1-like
NRADDP	-	neurotrophin receptor associated death domain, pseudogene
BOD1P2	-	biorientation of chromosomes in cell division 1 pseudogene 2
RPL9P29	RPL9_17_1576	ribosomal protein L9 pseudogene 29
LOC100129358	-	kelch like family member 5 pseudogene
SMIM10L1	-	small integral membrane protein 10 like 1
LOC100129367	-	nucleolar and coiled-body phosphoprotein 1 pseudogene
HNRNPH1P2	-	heterogeneous nuclear ribonucleoprotein H1 pseudogene 2
NDUFB9P3	-	NADH:ubiquinone oxidoreductase subunit B9 pseudogene 3
RPL18P3	RPL18_2_608	ribosomal protein L18 pseudogene 3
LOC100129375	-	ring finger protein 14 pseudogene
RPL23P9	RPL23_3_937	ribosomal protein L23 pseudogene 9
RPS29P17	RPS29_13_976	ribosomal protein S29 pseudogene 17
LOC100129381	-	ribosomal protein S7 pseudogene
THAP12P4	PRKRIRP4	THAP domain containing 12 pseudogene 4
LOC100129384	-	ankyrin repeat domain-containing protein 33B-like
C9orf92	Em:AL513424.1	chromosome 9 open reading frame 92
GABPB1-AS1	-	GABPB1 antisense RNA 1
LOC100129391	-	zinc finger CCCH-type, RNA binding motif and serine/arginine rich 2 pseudogene
RPL12P42	RPL12_15_1630	ribosomal protein L12 pseudogene 42
FAM106CP	FAM106C	family with sequence similarity 106 member C, pseudogene
LPGAT1P1	FAM34A2P|FAM34BP	lysophosphatidylglycerol acyltransferase 1 pseudogene 1
LYPLA1P1	-	LYPLA1 pseudogene 1
HAUS4P1	-	HAUS augmin like complex subunit 4 pseudogene 1
EEF1GP4	-	eukaryotic translation elongation factor 1 gamma pseudogene 4
LOC100129404	-	matrix metallopeptidase 12 (macrophage elastase) pseudogene
MSTO2P	MSTO2	misato family member 2, pseudogene
FAM236A	DMRTC1-AS1|LINC00684	family with sequence similarity 235 member A
RPL31P16	RPL31_3_207	ribosomal protein L31 pseudogene 16
RPL18P2	RPL18_1_137	ribosomal protein L18 pseudogene 2
LOC100129422	-	LSM14A, SCD6 homolog A (S. cerevisiae) pseudogene
EI24P1	-	EI24, autophagy associated transmembrane protein pseudogene 1
RPL19P12	RPL19_4_829	ribosomal protein L19 pseudogene 12
DDC-AS1	-	DDC antisense RNA 1
RANP5	-	RAN, member RAS oncogene family pseudogene 5
LOC100129434	-	uncharacterized LOC100129434
ZFRP1	-	zinc finger RNA binding protein pseudogene 1
GAMTP2	-	guanidinoacetate N-methyltransferase pseudogene 2
SNRPEP1	-	small nuclear ribonucleoprotein polypeptide E pseudogene 1
LOC100129455	-	uncharacterized LOC100129455
LOC100129456	-	heat shock protein 90 alpha family class B member 1 pseudogene
LOC100129457	-	coiled-coil domain containing 86 pseudogene
PWWP2AP1	-	PWWP domain containing 2A pseudogene 1
DPY19L1P1	-	DPY19L1 pseudogene 1
LYRM4-AS1	-	LYRM4 antisense RNA 1
LINC01546	CXorf28	long intergenic non-protein coding RNA 1546
BOD1P1	-	biorientation of chromosomes in cell division 1 pseudogene 1
LOC100129471	-	plastin 1 pseudogene
PTP4A1P6	-	protein tyrosine phosphatase type IVA, member 1 pseudogene 6
LOC100129478	-	chromosome 4 open reading frame 46 pseudogene
MKRN2OS	C3orf83|MKRN2-AS1	MKRN2 opposite strand
ZNF37BP	KOX21|ZNF37B	zinc finger protein 37B, pseudogene
LOC100129483	-	solute carrier family 35 member C2 pseudogene
LOC100129484	-	uncharacterized LOC100129484
RPL24P9	-	ribosomal protein L24 pseudogene
LOC100129492	-	small nuclear ribonucleoprotein Sm D1 pseudogene
LOC100129497	-	valosin containing protein lysine methyltransferase pseudogene
LOC100129503	-	uncharacterized LOC100129503
MAN1A2P1	-	mannosidase alpha class 1A member 2 pseudogene 1
POU5F1P2	-	POU class 5 homeobox 1 pseudogene 2
ETDB	ETDA|LINC00633	embryonic testis differentiation homolog B
LINC02012	-	long intergenic non-protein coding RNA 2012
RPL26P23	RPL26_13_865	ribosomal protein L26 pseudogene 23
SOD2-OT1	SOD2	SOD2 overlapping transcript 1
TEX13C	-	TEX13 family member C
LOC100129526	-	protein tyrosine phosphatase, receptor type D pseudogene
LOC100129527	-	ESF1, nucleolar pre-rRNA processing protein, homolog (S. cerevisiae) pseudogene
MUC8	-	mucin 8
LOC100129534	-	small nuclear ribonucleoprotein polypeptide N pseudogene
LOC100129540	-	uncharacterized LOC100129540
RPS29P21	RPS29_16_1562	ribosomal protein S29 pseudogene 21
ZNF730	-	zinc finger protein 730
LINC02035	-	long intergenic non-protein coding RNA 2035
RPS26P38	RPS26_15_1076	ribosomal protein S26 pseudogene 38
RPL13AP16	RPL13A_7_832	ribosomal protein L13a pseudogene 16
LOC100129554	-	thyroid hormone receptor interactor 4 pseudogene
HMGN1P7	-	high mobility group nucleosome binding domain 1 pseudogene 7
RPS10P27	RPS10_12_1588	ribosomal protein S10 pseudogene 27
HNRNPA3P8	-	heterogeneous nuclear ribonucleoprotein A3 pseudogene 8
MYL6P3	-	myosin light chain 6 pseudogene 3
PTP4A1P4	-	protein tyrosine phosphatase type IVA, member 1 pseudogene 4
SNRPCP2	-	small nuclear ribonucleoprotein polypeptide C pseudogene 2
PEBP1P3	-	phosphatidylethanolamine binding protein 1 pseudogene 3
LOC100129573	-	tRNA methyltransferase 2 homolog B (S. cerevisiae) pseudogene
LOC100129574	-	chromosome 12 open reading frame 29 pseudogene
MR1P1	MR1B	major histocompatibility complex, class I-related pseudogene
LOC100129577	-	mitochondrial carrier 1 pseudogene
FAM47E	-	family with sequence similarity 47 member E
RPL17P44	RPL17_28_1610	ribosomal protein L17 pseudogene 44
LOC100129586	-	ubiquitin conjugating enzyme E2 D4 (putative) pseudogene
VN1R34P	-	vomeronasal 1 receptor 34 pseudogene
LOC100129589	-	TM2 domain containing 3 pseudogene
RPL29P24	RPL29_16_1290	ribosomal protein L29 pseudogene 24
FAM8A3P	-	family with sequence similarity 8 member A3, pseudogene
PRUNEP1	-	prune exopolyphosphatase pseudogene 1
LINC00462	-	long intergenic non-protein coding RNA 462
RPS29P14	RPS29_3_802	ribosomal protein S29 pseudogene 14
LOC100129601	-	cell division cycle associated 7 pseudogene
LOC100129603	-	uncharacterized LOC100129603
PABPC1P12	-	poly(A) binding protein cytoplasmic 1 pseudogene 12
HNRNPA1P73	-	heterogeneous nuclear ribonucleoprotein A1 pseudogene 73
LOC100129607	-	ubiquitin C-terminal hydrolase L1 pseudogene
PRAMEF31P	-	PRAME family member 31, pseudogene
LOC100129616	-	putative UPF0607 protein ENSP00000332738-like
LOC100129617	-	uncharacterized LOC100129617
THAP5P2	-	THAP domain containing 5 pseudogene 2
LOC100129620	-	uncharacterized LOC100129620
RSU1P1	Y214H10.6	Ras suppressor protein 1 pseudogene 1
LOC100129626	-	translocase of outer mitochondrial membrane 5 homolog (yeast) pseudogene
PPP1R1AP2	-	protein phosphatase 1 regulatory inhibitor subunit 1A pseudogene 2
EIF2S2P6	-	eukaryotic translation initiation factor 2 subunit 2 beta pseudogene 6
IGHV2OR16-5	IGHV2OR165	immunoglobulin heavy variable 2/OR16-5 (non-functional)
RPL9P19	RPL9_4_783	ribosomal protein L9 pseudogene 19
LOC100129636	-	uncharacterized LOC100129636
DDX55P1	-	DEAD-box helicase 55 pseudogene 1
BTG1P1	-	BTG anti-proliferation factor 1 pseudogene 1
POM121L11P	-	POM121 transmembrane nucleoporin like 11, pseudogene
RPL18P9	RPL18_3_1196	ribosomal protein L18 pseudogene 9
LOC100129646	-	intraflagellar transport 57 homolog (Chlamydomonas) pseudogene
RPL5P35	RPL5_16_1760	ribosomal protein L5 pseudogene 35
PGDP2	-	phosphogluconate dehydrogenase pseudogene 2
RPS26P55	RPS26_30_1651	ribosomal protein S26 pseudogene 55
TCF24	TCF-24|bHLHa25	transcription factor 24
RPL17P18	RPL17_5_454	ribosomal protein L17 pseudogene 18
LOC100129661	-	HCLS1 associated protein X-1 pseudogene
FGF13-AS1	-	FGF13 antisense RNA 1
PRELID3BP1	SLMO2P1	PRELI domain containing 3B pseudogene 1
LOC100129667	-	chromosome 5 open reading frame 13 pseudogene
IZUMO3	C9orf134|bA20A20.1	IZUMO family member 3
RPL18P8	RPL18_5_1138	ribosomal protein L18 pseudogene 8
LOC100129672	-	cell adhesion associated, oncogene regulated pseudogene
LOC100129682	-	ribosomal protein L17 pseudogene
LOC100129683	-	WEE1 homolog (S. pombe) pseudogene
RPL21P125	RPL21_55_1506	ribosomal protein L21 pseudogene 125
LOC100129687	-	C-x9-C motif containing 2 pseudogene
RAD1P2	-	RAD1 pseudogene 2
EIF4BP9	-	eukaryotic translation initiation factor 4B pseudogene 9
LOC100129693	-	mitochondrial ribosomal protein L19 pseudogene
R3HDM2P2	-	R3H domain containing 2 pseudogene 2
TFP1	TFP	transferrin pseudogene 1
LOC100129697	-	uncharacterized LOC100129697
HMGB1P13	HMGB1L13	high mobility group box 1 pseudogene 13
LOC100129707	-	presenilin associated rhomboid like pseudogene
IPO7P1	-	importin 7 pseudogene 1
RCC2P8	-	regulator of chromosome condensation 2 pseudogene 8
ARRDC3-AS1	-	ARRDC3 antisense RNA 1
RPS13P3	RPS13_3_211	ribosomal protein S13 pseudogene 3
STPG3-AS1	C9orf173-AS1	STPG3 antisense RNA 1
HMGB1P12	HMGB1L12	high mobility group box 1 pseudogene 12
LOC100129724	-	uncharacterized LOC100129724
LOC100129725	-	PERP, TP53 apoptosis effector pseudogene
LINC01126	-	long intergenic non-protein coding RNA 1126
TMED10P2	-	transmembrane p24 trafficking protein 10 pseudogene 2
LOC100129728	-	nucleic acid binding protein 2 pseudogene
RAB11AP1	-	RAB11A, member RAS oncogene family pseudogene 1
RPS6P15	RPS6_7_1097	ribosomal protein S6 pseudogene 15
LOC100129734	-	zinc finger AN1-type containing 1 pseudogene
CDV3P1	-	CDV3 pseudogene 1
SETP9	-	SET pseudogene 9
DYNLL1P4	-	dynein light chain LC8-type 1 pseudogene 4
RPS3AP13	-	ribosomal protein S3A pseudogene
RPL7P14	RPL7_5_313	ribosomal protein L7 pseudogene 14
RSL24D1P1	RPL24p|RPL30BP|RSL24D1P|dJ97D16.2	ribosomal L24 domain containing 1 pseudogene 1
AMD1P4	-	adenosylmethionine decarboxylase 1 pseudogene 4
AKR1B1P6	-	aldo-keto reductase family 1 member B1 pseudogene 6
TMPOP1	Em:AB014080.3|TMPOL1	thymopoietin pseudogene 1
LOC100129774	-	ATPase family, AAA domain containing 1 pseudogene
LOC100129776	-	eukaryotic translation initiation factor 2 subunit gamma pseudogene
BNIP3P6	-	BCL2 interacting protein 3 pseudogene 6
LOC100129779	-	DnaJ heat shock protein family (Hsp40) member B7 pseudogene
MIR193BHG	-	MIR193B host gene
ATP5F1AP4	ATP5A1P4|ATP5AP4	ATP synthase F1 subunit alpha pseudogene 4
RPL17P26	RPL17_14_707	ribosomal protein L17 pseudogene 26
CCDC152	CH5400	coiled-coil domain containing 152
TLK1P1	TLK1P|TLK1ps	tousled like kinase 1 pseudogene 1
SLC25A21-AS1	-	SLC25A21 antisense RNA 1
NPM1P50	-	nucleophosmin 1 pseudogene 50
RPL13P13	RPL13_5_1672	ribosomal protein L13 pseudogene 13
RPL13AP21	RPL13A_10_1231	ribosomal protein L13a pseudogene 21
ZNF807	ZNF181P1|ZNF807P	zinc finger protein 807
RPL12P37	RPL12_18_1579	ribosomal protein L12 pseudogene 37
RPL24P6	RPL24_3_450	ribosomal protein L24 pseudogene 6
CT45A11P	-	cancer/testis antigen family 45 member A11, pseudogene
PGAM1P13	-	phosphoglycerate mutase 1 pseudogene 13
LOC100129818	-	tubulin alpha 1a pseudogene
RPL22P7	RPL22_4_275	ribosomal protein L22 pseudogene 7
PIP5K1P2	-	phosphatidylinositol-4-phosphate 5-kinase type 1 pseudogene 2
MRVI1-AS1	-	MRVI1 antisense RNA 1
LOC100129830	-	5-azacytidine induced 2 pseudogene
COL4A2-AS2	-	COL4A2 antisense 2
ZNF737	ZNF102	zinc finger protein 737
LOC100129843	-	pyruvate dehydrogenase kinase 1 pseudogene
LOC100129844	-	DnaJ heat shock protein family (Hsp40) member C7 pseudogene
PCOLCE-AS1	-	PCOLCE antisense RNA 1
LOC100129847	-	ras homolog family member A pseudogene
LOC100129851	-	claudin 7 pseudogene
DNAJC19P1	-	DnaJ heat shock protein family (Hsp40) member C19 pseudogene 1
LOC100129854	-	arginase 2 pseudogene
RPL37AP5	RPL37A_2_859	ribosomal protein L37a pseudogene 5
SCOC-AS1	-	SCOC antisense RNA 1
RSL24D1P7	-	ribosomal L24 domain containing 1 pseudogene 7
SUCLA2P2	-	succinate-CoA ligase ADP-forming beta subunit pseudogene 2
EI24P2	-	EI24, autophagy associated transmembrane protein pseudogene 2
RPL30P14	RPL30_8_1609	ribosomal protein L30 pseudogene 14
GRPEL2P3	-	GrpE like 2, mitochondrial pseudogene 3
LOC100129878	-	uncharacterized LOC100129878
NENFP2	-	neudesin neurotrophic factor pseudogene 2
RPL31P49	RPL31_26_1276	ribosomal protein L31 pseudogene 49
RPS29P11	RPS29_8_466	ribosomal protein S29 pseudogene 11
RPS27P19	RPS27_7_1180	ribosomal protein S27 pseudogene 19
LOC100129917	-	uncharacterized LOC100129917
HMGB1P45	-	high mobility group box 1 pseudogene 45
HNRNPA1P40	-	heterogeneous nuclear ribonucleoprotein A1 pseudogene 40
RPL15P4	Em:AC006046.2|RPL15_4_680	ribosomal protein L15 pseudogene 4
LOC100129923	-	myoneurin pseudogene
TMEM269	-	transmembrane protein 269
RPL12P13	-	ribosomal protein L12 pseudogene 13
RPL31P5	RPL31_29_1379	ribosomal protein L31 pseudogene 5
NUP210P2	-	nucleoporin 210 pseudogene 2
RPL10P10	RPL10_3_705	ribosomal protein L10 pseudogene 10
LOC100129931	-	uncharacterized LOC100129931
GLYATL1P2	-	glycine-N-acyltransferase like 1 pseudogene 2
RPL34P14	RPL34_9_693	ribosomal protein L34 pseudogene 14
LOC100129935	-	galectin 14 pseudogene
KNOP1P1	-	lysine rich nucleolar protein 1 pseudogene 1
RPS10P31	RPS10_16_1758	ribosomal protein S10 pseudogene 31
HMGA2-AS1	-	HMGA2 antisense RNA 1
RSL24D1P5	-	ribosomal L24 domain containing 1 pseudogene 5
LOC100129942	-	capping actin protein of muscle Z-line subunit alpha 2 pseudogene
LOC100129947	-	zinc finger protein 674 pseudogene
LOC100129948	-	riboflavin kinase pseudogene
LOC100129949	-	protein RCC2-like
RPL39P10	RPL39_4_182	ribosomal protein L39 pseudogene 10
LOC100129955	-	RNA polymerase I-specific transcription initiation factor RRN3-like
LOC100129956	-	high mobility group nucleosomal binding domain 2 pseudogene
LOC100129957	-	PC4 and SFRS1 interacting protein 1 pseudogene
KRT8P44	-	keratin 8 pseudogene 44
AK3P4	-	adenylate kinase 3 pseudogene 4
SDCBPP2	-	syndecan binding protein pseudogene 2
CCNT2-AS1	-	CCNT2 antisense RNA 1
LOC100129966	-	mitochondrial carrier 1 pseudogene
FAM205C	FAM205CP	family with sequence similarity 205 member C
NPM1P47	-	nucleophosmin 1 pseudogene 47
CERNA1	-	competing endogenous lncRNA 1 for miR-4707-5p and miR-4767
RPL10P15	-	ribosomal protein L10 pseudogene 15
BRI3BPP1	-	BRI3 binding protein pseudogene 1
RPL12P19	RPL12_2_212	ribosomal protein L12 pseudogene 19
UBE2CP3	-	ubiquitin conjugating enzyme E2 C pseudogene 3
LOC100129989	-	chromosome 12 open reading frame 29 pseudogene
RPL38P2	RPL38_1_244	ribosomal protein L38 pseudogene 2
GRPEL2P2	-	GrpE like 2, mitochondrial pseudogene 2
LINC01460	-	long intergenic non-protein coding RNA 1460
LOC100129996	-	chromosome 6 open reading frame 203 pseudogene
LOC100129997	-	spindlin family member 2B pseudogene
RPL5P27	RPL5_14_1100	ribosomal protein L5 pseudogene 27
LOC100130001	-	small nuclear ribonucleoprotein polypeptide B2 pseudogene
HNRNPA1P23	-	heterogeneous nuclear ribonucleoprotein A1 pseudogene 23
SNRPGP2	HsT2742	small nuclear ribonucleoprotein polypeptide G pseudogene 2
EIF4A1P11	-	eukaryotic translation initiation factor 4A1 pseudogene 11
HMGA1P8	HMGA1-p	high mobility group AT-hook 1 pseudogene 8
SYPL1P1	-	synaptophysin like 1 pseudogene 1
SETP5	-	SET pseudogene 5
URAHP	URAH	urate (hydroxyiso-) hydrolase, pseudogene
FTLP10	-	ferritin light chain pseudogene 10
LOC100130018	-	prostaglandin reductase 1 pseudogene
LOC100130026	-	ribosomal protein L38 pseudogene
LOC100130027	-	uncharacterized LOC100130027
HMGA1P6	HMGA1L6	high mobility group AT-hook 1 pseudogene 6
RPL36AP12	RPL36A_2_79	ribosomal protein L36a pseudogene 12
LOC100130035	-	biogenesis of lysosomal organelles complex 1 subunit 6 pseudogene
